harmful-breakable-walk,harmful-breakable-walkBig,harmful-breakable-fly,harmful-breakable-flyBig,harmful-breakable-shooter,harmful-breakable-shooterBig,harmful-breakable-shooterFly,harmful-breakable-shooterFlyBig,harmful-indestructible-fixed,harmful-indestructible-fixedBig,harmful-indestructible-walk,harmful-indestructible-walkBig,harmful-indestructible-fly,harmful-indestructible-flyBig,harmful-indestructible-shooter,harmful-indestructible-shooterBig,harmful-indestructible-shooterFly,harmful-indestructible-shooterFlyBig,friendly-powerUp,friendly-vehicle,friendly-help,friendly-jump,friendly-move,friendly-teleport,friendly-puzzle,friendly-coin
0,0,24,0,0,0,0,0,4,0,7,0,0,0,2,0,0,0,1,0,8,0,0,3,0,75
2,1,1,0,0,0,0,0,35,28,0,1,0,0,1,0,0,0,4,0,266,17,42,4,6,183
5,1,0,0,0,0,0,0,107,4,1,3,8,5,0,1,0,0,1,0,13,0,59,6,0,185
0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,80,22,0,0,266
79,0,0,0,1,0,1,0,46,5,24,0,0,4,12,0,0,0,18,1,105,127,80,14,1,32
7,1,0,0,6,0,0,0,41,6,5,0,1,0,1,0,0,0,39,0,72,17,67,142,4,112
19,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,11,0,0,8,1,63
39,7,0,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,0,0,2,4,2,16,1,18
5,0,1,0,1,0,0,0,1065,60,0,0,2,0,0,0,0,0,0,0,0,234,0,4,2,130
0,0,0,0,0,0,0,0,51,28,0,0,1,9,0,0,0,0,0,0,0,82,4,0,1,125
3,0,1,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,1,0,2,3,0,6,0,2
1,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,2,10,2,8,4,0
11,1,0,0,0,0,0,0,0,0,1,0,0,0,61,0,0,0,3,3,16,0,16,29,1,209
0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,116,0,0,0,0
2,0,0,0,0,0,0,0,840,20,0,0,0,0,0,0,0,0,2,0,0,22,0,4,0,0
7,3,0,0,2,0,0,0,169,14,4,1,3,0,3,1,0,1,2,0,53,104,28,12,5,22
3,0,0,0,0,0,0,0,1487,26,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0
79,2,1,3,0,0,0,0,0,0,2,0,0,0,8,0,0,0,2,0,20,268,0,8,0,88
0,0,0,0,0,0,0,0,282,102,0,0,2,7,7,0,0,0,4,29,878,1021,4,35,1,0
75,0,0,0,1,0,1,0,8,11,2,0,0,12,0,0,0,0,11,1,97,100,60,11,2,12
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,224,0,26,6,0,139
19,9,0,0,0,0,0,0,257,6,0,0,6,0,83,0,0,0,43,0,55,14,14,75,1,4
0,0,0,0,9,0,0,0,17,1,1,0,0,0,17,0,0,0,4,1,9,36,109,2,3,44
