ID,timeLimit,widthBlock,heightBlock,objectCount,record,harmful-breakable-walk,harmful-breakable-walkBig,harmful-breakable-fly,harmful-breakable-flyBig,harmful-breakable-shooter,harmful-breakable-shooterBig,harmful-breakable-shooterFly,harmful-breakable-shooterFlyBig,harmful-indestructible-fixed,harmful-indestructible-fixedBig,harmful-indestructible-walk,harmful-indestructible-walkBig,harmful-indestructible-fly,harmful-indestructible-flyBig,harmful-indestructible-shooter,harmful-indestructible-shooterBig,harmful-indestructible-shooterFly,harmful-indestructible-shooterFlyBig,friendly-powerUp,friendly-vehicle,friendly-help,friendly-jump,friendly-move,friendly-teleport,friendly-puzzle,friendly-coin
0F30-0000-032A-8ACD,500,84,27,1490,7112,18,6,3,2,10,0,1,0,4,3,3,0,2,5,6,0,0,0,33,2,367,20,12,0,1,0
0F8B-0000-032D-0424,150,146,27,1440,12383,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,185,2,72,6,0,77
0B67-0000-033B-6A99,20,180,27,2101,14920,8,0,0,0,9,0,0,0,244,0,0,0,0,0,0,0,0,0,14,0,19,3,10,15,0,175
0F42-0000-0314-876F,500,240,27,779,85750,0,0,0,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
0FDA-0000-0324-2EAF,40,120,27,1268,39221,0,0,0,0,0,0,0,0,290,13,0,0,0,0,0,0,0,0,0,0,21,32,0,2,0,0
106E-0000-0350-0AC9,500,240,27,4037,178800,15,0,17,0,2,0,0,0,40,9,5,0,1,0,68,0,0,0,0,1,18,10,152,30,2,80
0FE4-0000-0322-F2B8,170,240,27,2584,51644,8,16,17,4,0,0,0,0,157,21,0,0,46,0,7,0,0,0,17,0,336,507,40,39,8,387
1150-0000-0329-B9FC,30,215,27,781,23333,0,0,0,0,0,0,0,0,0,0,2,89,0,0,0,0,0,0,0,0,0,3,3,0,0,339
123B-0000-0347-3D62,500,240,27,2209,21638,10,0,4,1,0,0,0,0,6,1,8,1,1,1,3,2,0,0,1,1,2,0,93,6,0,99
12CF-0000-032F-97AA,30,84,27,2897,26769,0,0,0,0,0,0,0,0,25,28,0,0,0,0,0,0,0,0,1,0,129,0,0,4,0,198
12D3-0000-0332-845A,200,132,27,1283,12141,36,0,0,0,0,0,0,0,135,1,0,0,0,0,0,0,0,0,1,0,0,36,1,1,0,73
133B-0000-0309-EB64,500,118,27,202,29222,0,0,0,0,0,0,0,0,85,0,0,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0
14AE-0000-02FE-F045,500,84,27,599,7500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,57,0,2,18,0,0
13A9-0000-0330-B752,70,96,27,1975,56427,8,0,0,0,0,0,0,0,198,2,0,0,1,0,0,0,0,0,3,0,52,41,9,11,1,9
176C-0000-0358-B3CB,500,156,27,3779,46150,2,2,0,1,2,0,0,0,1,19,0,0,0,0,0,0,0,0,12,2,3,3,93,28,58,4
1587-0000-034A-D676,500,201,27,895,48778,0,0,0,0,0,0,0,0,350,13,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1774-0000-0333-A372,500,84,27,367,4199,0,0,3,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,5,0,8,6,18
0FDE-0000-0314-C389,500,240,27,743,46489,0,0,0,0,0,0,0,0,0,44,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0
177E-0000-0306-9649,500,191,27,4307,91458,124,0,0,0,0,0,0,0,264,0,76,0,0,0,0,0,0,0,2,0,9,219,2,16,0,12
17C5-0000-0353-9E4C,150,84,27,175,6660,0,0,24,0,0,0,0,0,4,0,7,0,0,0,2,0,0,0,1,0,8,0,0,3,0,75
184F-0000-0335-9C2D,30,240,27,2239,24515,2,1,1,0,0,0,0,0,35,28,0,1,0,0,1,0,0,0,4,0,266,17,42,4,6,183
18C9-0000-031E-017D,350,140,27,1053,66033,5,1,0,0,0,0,0,0,107,4,1,3,8,5,0,1,0,0,1,0,13,0,59,6,0,185
18DB-0000-0324-6DD3,200,240,27,1190,28157,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,80,22,0,0,266
18F9-0000-0341-30BD,200,240,27,4095,110912,79,0,0,0,1,0,1,0,46,5,24,0,0,4,12,0,0,0,18,1,105,127,80,14,1,32
18FB-0000-0364-332E,100,240,27,1994,52101,7,1,0,0,6,0,0,0,41,6,5,0,1,0,1,0,0,0,39,0,72,17,67,142,4,112
194C-0000-032C-CFD1,500,240,27,1433,38101,19,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,11,0,0,8,1,63
19A6-0000-0328-4C38,500,240,27,1355,46001,39,7,0,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,0,0,2,4,2,16,1,18
19EA-0000-0310-7317,50,240,27,1732,42519,5,0,1,0,1,0,0,0,1065,60,0,0,2,0,0,0,0,0,0,0,0,234,0,4,2,130
19FE-0000-035A-0830,10,58,27,314,5395,0,0,0,0,0,0,0,0,51,28,0,0,1,9,0,0,0,0,0,0,0,82,4,0,1,125
1A0F-0000-0324-340D,500,48,27,385,2033,3,0,1,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,1,0,2,3,0,6,0,2
1A3F-0000-030F-5152,10,33,27,171,7466,1,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,2,10,2,8,4,0
1AC8-0000-035D-737C,300,240,27,3413,60638,11,1,0,0,0,0,0,0,0,0,1,0,0,0,61,0,0,0,3,3,16,0,16,29,1,209
17D9-0000-0332-9581,500,240,27,1835,20502,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,116,0,0,0,0
1B53-0000-033B-AAB2,70,132,27,1528,63037,2,0,0,0,0,0,0,0,840,20,0,0,0,0,0,0,0,0,2,0,0,22,0,4,0,0
1B82-0000-0327-AAE6,80,240,27,2158,53534,7,3,0,0,2,0,0,0,169,14,4,1,3,0,3,1,0,1,2,0,53,104,28,12,5,22
1BA7-0000-0324-CBA4,20,233,27,1721,19659,3,0,0,0,0,0,0,0,1487,26,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0
1BC1-0000-032E-2917,70,84,27,836,18949,79,2,1,3,0,0,0,0,0,0,2,0,0,0,8,0,0,0,2,0,20,268,0,8,0,88
1C09-0000-030E-C092,50,166,27,3543,44683,0,0,0,0,0,0,0,0,282,102,0,0,2,7,7,0,0,0,4,29,878,1021,4,35,1,0
1CA1-0000-0351-A030,170,240,27,3631,114532,75,0,0,0,1,0,1,0,8,11,2,0,0,12,0,0,0,0,11,1,97,100,60,11,2,12
1CAF-0000-0328-C96E,190,125,27,1182,7834,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,224,0,26,6,0,139
1D1E-0000-0327-6392,500,202,27,2178,21085,19,9,0,0,0,0,0,0,257,6,0,0,6,0,83,0,0,0,43,0,55,14,14,75,1,4
1E86-0000-030C-D181,500,178,27,2195,58937,0,0,0,0,9,0,0,0,17,1,1,0,0,0,17,0,0,0,4,1,9,36,109,2,3,44
1EAD-0000-0366-2328,500,240,27,3059,67100,1,0,0,0,0,0,0,0,4,0,0,0,7,1,0,0,0,0,1,0,13,1,4,22,1,59
